구분,학교,직군,교육과정명,세부교육과정명,운영일정,수강 정보
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,상상력 팡팡! AI 영상 플레이(1차),2026. 6. 18. - 7. 13,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,상상력 팡팡! AI 영상 플레이(2차),2026. 7. 15. - 8. 7.,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,상상력 팡팡! AI 영상 플레이(3차),2026. 8.10. - 9. 6.,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,상상력 팡팡! AI 영상 플레이(4차),2026. 10.6. - 10.31,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,상상력 팡팡! AI 영상 플레이(5차),2026. 11. 2.. - 11. 29.,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,상상력 팡팡! AI 영상 플레이(6차),2026. 12. 1. - 12. 27.,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,사고력 쑥쑥! AI 영상 플레이(1차),2026. 6. 18. - 7. 13,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,사고력 쑥쑥! AI 영상 플레이(2차),2026. 7. 15. - 8. 7.,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,사고력 쑥쑥! AI 영상 플레이(3차),2026. 8.10. - 9. 6.,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,사고력 쑥쑥! AI 영상 플레이(4차),2026. 10.6. - 10.31,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,사고력 쑥쑥! AI 영상 플레이(5차),2026. 11. 2.. - 11. 29.,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,사고력 쑥쑥! AI 영상 플레이(6차),2026. 12. 1. - 12. 27.,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(산업별),(1회) 2026.07.04~2026.07.05,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(산업별),(2회) 2026.07.11~2026.07.12,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(산업별),(3회) 2026.08.08~2026.08.09,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(산업별),(4회) 2026.08.22~2026.08.23,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(산업별),(5회) 2026.09.12~2026.09.13,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(산업별),(6회) 2026.09.26~2026.09.27,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(산업별),(7회) 2026.10.17~2026.10.18,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(산업별),(8회) 2026.10.24~2026.10.25,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(산업별),(9회) 2026.10.31~2026.11.01,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(산업별),(10회) 2026.11.07~2026.11.08,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(산업별),(11회) 2026.11.21~2026.11.22,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(산업별),(12회) 2026.12.12~2026.12.13,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(소상공인특화),(1회) 2026.07.13~2026.07.16,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(소상공인특화),(2회) 2026.09.07~2026.09.10,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(소상공인특화),(3회) 2026.10.12~2026.10.15,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(소상공인특화),(4회) 2026.11.09~2026.11.12,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(소상공인특화),(5회) 2026.12.07~2026.12.10,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(소상공인특화),(6회) 2026.12.14~2026.12.17,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(수요자요구형),(1회) 2026.08.03~2026.08.06,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(수요자요구형),(2회) 2026.08.24~2026.08.27,
AID 30+ 집중캠프,대구한의대학교,마케팅,"바이브코딩과
 생성형 AI를 활용한 
1인 AI마케터
 종합과정",바이브코딩과 생성형 AI를 활용한 1인 AI마케터 종합과정(수요자요구형),(3회) 2026.11.16~2026.11.19,
AID 30+ 집중캠프,동원과학기술대학교,마케팅,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,AI 기반 자동분석(마케팅 집중과정),(1회) 2026.07.27~2026.08.21,
AID 30+ 집중캠프,동원과학기술대학교,마케팅,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,AI 기반 자동분석(마케팅 집중과정),(2회) 2026.08.24~2026.09.18,
AID 30+ 집중캠프,동원과학기술대학교,마케팅,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,AI 기반 자동분석(마케팅 집중과정),(3회) 2026.09.21~2026.10.10,
AID 30+ 집중캠프,동원과학기술대학교,마케팅,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,AI 기반 자동분석(마케팅 집중과정),(4회) 2026.10.12~2026.11.06,
AID 30+ 집중캠프,동원과학기술대학교,마케팅,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,고급데이터 분석(마케팅 집중과정),(1회) 2026.08.03~2026.08.28,
AID 30+ 집중캠프,동원과학기술대학교,마케팅,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,고급데이터 분석(마케팅 집중과정),(2회) 2026.08.31~2026.09.28,
AID 30+ 집중캠프,동원과학기술대학교,마케팅,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,고급데이터 분석(마케팅 집중과정),(3회) 2026.10.02~2026.10.30,
AID 30+ 집중캠프,동원과학기술대학교,마케팅,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,고급데이터 분석(마케팅 집중과정),(4회) 2026.11.02~2026.11.27,
AID 30+ 집중캠프,동원과학기술대학교,마케팅,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,AI 자동화 마케팅 도구 활용(마케팅 집중과정),(1회) 2026.07.06~2026.08.03,
AID 30+ 집중캠프,동원과학기술대학교,마케팅,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,AI 자동화 마케팅 도구 활용(마케팅 집중과정),(2회) 2026.08.10~2026.09.07,
AID 30+ 집중캠프,동원과학기술대학교,마케팅,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,AI 자동화 마케팅 도구 활용(마케팅 집중과정),(3회) 2026.09.14~2026.10.06,
AID 30+ 집중캠프,동원과학기술대학교,마케팅,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,AI 자동화 마케팅 도구 활용(마케팅 집중과정),(4회) 2026.10.12~2026.11.06,
AID 30+ 집중캠프,동원과학기술대학교,제조업,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,AI 기반 생산데이터 시각화(제조업 집중과정),(1회) 2026.08.22~2026.09.12,
AID 30+ 집중캠프,동원과학기술대학교,제조업,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,AI 기반 설비보전 고장진단 사례(제조업 집중과정),(1회) 2026.07.18~2026.08.01,
AID 30+ 집중캠프,동원과학기술대학교,제조업,지역산업 수요 맞춤형 AI·디지털(AI·D) 활용 전문가 ,AI 기반 설비보전 고장진단 사례(제조업 집중과정),(2회) 2026.09.05~2026.09.19,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,데이터 분석 기반의 브랜드 전략 수립,(1회) 2026.06.22~2026.07.12,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,데이터 분석 기반의 브랜드 전략 수립,(2회) 2026.08.17~2026.09.06,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,데이터 분석 기반의 브랜드 전략 수립,(3회) 2026.11.09~2026.11.29,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,데이터 분석 기반의 브랜드 전략 수립,,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,데이터 분석 기반의 브랜드 전략 수립,,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,AI 기반의 디자인 콘텐츠 제작,(1회) 2026.06.22~2026.07.12,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,AI 기반의 디자인 콘텐츠 제작,(2회) 2026.08.17~2026.09.06,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,AI 기반의 디자인 콘텐츠 제작,(3회) 2026.11.09~2026.11.29,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,AI 기반의 디자인 콘텐츠 제작,,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,AI 기반의 디자인 콘텐츠 제작,,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,디지털 마케팅 자동화 구축 및 성과 분석,(1회) 2026.06.22~2026.07.12,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,디지털 마케팅 자동화 구축 및 성과 분석,(2회) 2026.08.17~2026.09.06,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,디지털 마케팅 자동화 구축 및 성과 분석,(3회) 2026.11.09~2026.11.29,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,디지털 마케팅 자동화 구축 및 성과 분석,,
AID 30+ 집중캠프,부산디지털대학교,마케팅,AI 브랜드 마케팅 3-스텝 집중캠프,디지털 마케팅 자동화 구축 및 성과 분석,,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(일반사무) AI 기반 지능형 업무 자동화 입문 및 응용,(1회) 2026.07.06.~2026.07.19.,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(일반사무) AI 기반 지능형 업무 자동화 입문 및 응용,(2회) 2026.07.20.~2026.08.02.,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(일반사무) AI 기반 지능형 업무 자동화 입문 및 응용,(3회) 2026.08.03.~2026.08.16.,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(일반사무) AI 기반 지능형 업무 자동화 입문 및 응용,(4회) 2026.08.17.~2026.08.30,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(일반사무) AI 기반 지능형 업무 자동화 입문 및 응용,(5회) 2026.08.31.~2026.09.13.,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(일반사무) AI 기반 지능형 업무 자동화 입문 및 응용,(6회) 2026.09.14~2026.09.27.,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(일반사무) AI 기반 지능형 업무 자동화 입문 및 응용,(7회) 2026.09.28.~2026.10.11.,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(일반사무) AI 기반 지능형 업무 자동화 입문 및 응용,(8회) 2026.10.12~2026.10.25.,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(일반사무) AI 기반 지능형 업무 자동화 입문 및 응용,(9회) 2026.10.26.~2026.11.08.,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(일반사무) AI 기반 지능형 업무 자동화 입문 및 응용,(10회) 2026.11.09.~2026.11.22.,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(미디어 콘텐츠 제작) 생성형 AI 활용 콘텐츠 제작 자동화 및 AI 제조 융합화,(1회) 2026.07.06.~2026.08.02.,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(미디어 콘텐츠 제작) 생성형 AI 활용 콘텐츠 제작 자동화 및 AI 제조 융합화,(2회) 2026.08.03.~2026.08.30.,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(미디어 콘텐츠 제작) 생성형 AI 활용 콘텐츠 제작 자동화 및 AI 제조 융합화,(3회) 2026.08.31.~2026.09.27.,
AID 30+ 집중캠프,상지대학교,일반 사무 및 미디어콘텐츠 제작,AI 기반 비즈니스 자동화 전문과정,(미디어 콘텐츠 제작) 생성형 AI 활용 콘텐츠 제작 자동화 및 AI 제조 융합화,(4회) 2026.09.28.~2026.10.25.,
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 마케팅 실무 과정,"(1회) 2026.07.20~2026.07.31
온라인 : 2026.06.01 ~ 2026.12.21",
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 마케팅 실무 과정,"(2회) 2026.08.17~2026.08.28
온라인 : 2026.06.01 ~ 2026.12.21",
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 마케팅 실무 과정,"(3회) 2026.10.05~2026.10.16
온라인 : 2026.06.01 ~ 2026.12.21",
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 브랜딩 실무 과정,"(1회) 2026.08.03~2026.08.14
온라인 : 2026.06.01 ~ 2026.12.21",
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 브랜딩 실무 과정,"(2회) 2026.09.21~2026.10.02
온라인 : 2026.06.01 ~ 2026.12.21",
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 브랜딩 실무 과정,"(3회) 2026.10.19~2026.10.30
온라인 : 2026.06.01 ~ 2026.12.21",
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 브랜딩 실무 과정,"(4회) 2026.11.16~2026.11.27
온라인 : 2026.06.01 ~ 2026.12.21",
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 콘텐츠 마케팅 실무 과정,(1회) 2026.06.08~2026.06.19,
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 콘텐츠 마케팅 실무 과정,(2회) 2026.07.20~2026.07.31,
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 콘텐츠 마케팅 실무 과정,(3회) 2026.09.07~2026.09.18,
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 콘텐츠 마케팅 실무 과정,(4회) 2026.11.02~2026.11.13,
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 상품디자인 실무 과정 ,(1회) 2026.07.06~2026.07.17,
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 상품디자인 실무 과정 ,(2회) 2026.09.07~2026.09.18,
AID 30+ 집중캠프,인하공업전문대학,서비스 (관광경영),AI 관광 로컬 크리에이터 재직자 양성과정,생성형 AI 기반 통합형 상품디자인 실무 과정 ,(3회) 2026.11.16~2026.11.27,
AID 30+ 집중캠프,재능대학교,화장품산업 공통,화장품 제조,"AI 기반 뷰티테크 기초
(공통 기초)",(1회)2026.06.01~8.30,
AID 30+ 집중캠프,재능대학교,화장품산업 공통,화장품 제조,"AI 기반 뷰티테크 기초
(공통 기초)",(2회)2026.07.01~9.30,
AID 30+ 집중캠프,재능대학교,화장품산업 공통,화장품 제조,"AI 기반 뷰티테크 기초
(공통 기초)",(3회)2026.08.01~10.30,
AID 30+ 집중캠프,재능대학교,화장품산업 공통,화장품 제조,"AI 기반 뷰티테크 기초
(공통 기초)",(4회)2026.09.01~11.30,
AID 30+ 집중캠프,재능대학교,화장품산업 공통,화장품 제조,"AI 기반 뷰티테크 기초
(공통 기초)",(5회)2026.10.01~12.30,
AID 30+ 집중캠프,재능대학교,화장품산업 공통,화장품 제조,"AI 기반 뷰티테크 기초
(공통 기초)",(6회)2026.11.01~1.30,
AID 30+ 집중캠프,재능대학교,화장품 제조 및 품질 관리 직무,화장품 제조," 화장품 GMP AI 응용실무
(선택 과정1)",(1회)2026.07.01~2026.10.30,
AID 30+ 집중캠프,재능대학교,화장품 제조 및 품질 관리 직무,화장품 제조," 화장품 GMP AI 응용실무
(선택 과정1)",(2회)2026.11.01~2027.01.30,
AID 30+ 집중캠프,재능대학교,화장품 제조 및 품질 관리 직무,화장품 제조,"AI를 이용한 화장품 제조 및 성분분석
(선택 과정2)",(1회)2026.07.01~2026.10.30,
AID 30+ 집중캠프,재능대학교,화장품 제조 및 품질 관리 직무,화장품 제조,"AI를 이용한 화장품 제조 및 성분분석
(선택 과정2)",(2회)2026.11.01~2027.01.30,
AID 30+ 집중캠프,재능대학교,뷰티-화장품 서비스 직무,화장품 제조,생성형 AI와 얼굴 AR분석을 통한 맞춤형 화장품 분석(선택 과정3),(1회)2026.09.01~2026.11.30,
AID 30+ 집중캠프,재능대학교,뷰티-화장품 서비스 직무,화장품 제조,생성형 AI와 얼굴 AR분석을 통한 맞춤형 화장품 분석(선택 과정3),(2회)2026.11.01~2027.01.30,
AID 30+ 집중캠프,재능대학교,뷰티-화장품 서비스 직무,화장품 제조,AI를 통한 퍼스널컬러 분석으로 헤어&메이크업 응용(선택 과정4),(1회)2026.05.01~2026.08.30,
AID 30+ 집중캠프,재능대학교,뷰티-화장품 서비스 직무,화장품 제조,AI를 통한 퍼스널컬러 분석으로 헤어&메이크업 응용(선택 과정4),(2회)2026.09.01~2026.12.30,
AID 30+ 집중캠프,전남대학교,일반사무,인공지능을 활용한 업무효율화 과정,(과정1)AI·Digital 리터러시와 생성형AI 업무효율화 과정,2026.07.28.~08.08.(1차),
AID 30+ 집중캠프,전남대학교,일반사무,인공지능을 활용한 업무효율화 과정,"(과정1)
AI·Digital 리터러시와
생성형AI 업무효율화 과정",2026.08.25.~09.05.(2차),
AID 30+ 집중캠프,전남대학교,일반사무,인공지능을 활용한 업무효율화 과정,"(과정1)
AI·Digital 리터러시와
생성형AI 업무효율화 과정",2026.08.25.~09.05.(2차),
AID 30+ 집중캠프,전남대학교,일반사무,인공지능을 활용한 업무효율화 과정,"(과정2)
직장인을 위한 AI 활용 실무능력
Skill-up 과정",2026.08.25.~09.12.(1차),
AID 30+ 집중캠프,전남대학교,일반사무,인공지능을 활용한 업무효율화 과정,"(과정2)
직장인을 위한 AI 활용 실무능력
Skill-up 과정",2026.09.29.~10.17.(2차),
AID 30+ 집중캠프,전남대학교,일반사무,인공지능을 활용한 업무효율화 과정,"(과정2)
직장인을 위한 AI 활용 실무능력
Skill-up 과정",2026.10.13.~10.31.(3차),
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,[공통] AI·디지털 핵심역량(초급),(1회) 2026.06.15.~2026.10.31.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,AI 기반 사무자동화(중·고급)(일반사무 집중과정),(1회) 2026.06.29.~2026.07.11.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,AI 기반 사무자동화(중·고급)(일반사무 집중과정),(2회) 2026.09.28.~2026.10.14.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,GenAI 데이터 분석 및 시각화(중·고급)(일반사무 집중과정),(1회) 2026.06.22.~2026.07.04.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,GenAI 데이터 분석 및 시각화(중·고급)(일반사무 집중과정),(2회) 2026.07.06.~2026.07.18.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,GenAI 데이터 분석 및 시각화(중·고급)(일반사무 집중과정),(3회) 2026.10.05.~2026.10.21.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,GPT 기업혁신 프로젝트(중·고급)(일반사무 집중과정),(1회) 2026.07.13.~2026.07.25.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,GPT 기업혁신 프로젝트(중·고급)(일반사무 집중과정),(2회) 2026.07.13.~2026.08.01.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,GPT 기업혁신 프로젝트(중·고급)(일반사무 집중과정),(3회) 2026.10.12.~2026.10.28.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,AI 기반 마케팅 프로세스 자동화(중·고급)(마케팅 세일즈 집중과정),(1회) 2026.07.27.~2026.08.08.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,AI 기반 마케팅 프로세스 자동화(중·고급)(마케팅 세일즈 집중과정),(2회) 2026.09.28.~2026.10.14.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,GenAI 세일즈 인사이트(중·고급)(마케팅 세일즈 집중과정),(1회) 2026.08.10.~2026.08.22.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,GenAI 세일즈 인사이트(중·고급)(마케팅 세일즈 집중과정),(2회) 2026.10.05.~2026.10.21.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,브랜드 기획 프로젝트(중·고급)(마케팅 세일즈 집중과정),(1회) 2026.08.17.~2026.08.29.,
AID 30+ 집중캠프,전주대학교,"일반사무, 마케팅세일즈",AI·디지털 마스터 클래스,브랜드 기획 프로젝트(중·고급)(마케팅 세일즈 집중과정),(2회) 2026.10.12.~2026.10.28.,
AID 30+ 집중캠프,제주대학교,AI·디지털 융합,AI 융합 디지털 문제해결 전문가 과정,G트랙 : AI 생산성 혁신 과정,(1회차) 2026.07.20~2026.08.14,
AID 30+ 집중캠프,제주대학교,AI·디지털 융합,AI 융합 디지털 문제해결 전문가 과정,G트랙 : AI 생산성 혁신 과정,(2회차) 2026.08.10~2026.09.04,
AID 30+ 집중캠프,제주대학교,AI·디지털 융합,AI 융합 디지털 문제해결 전문가 과정,G트랙 : AI 생산성 혁신 과정,(3회차) 2026.09.07~2026.10.02,
AID 30+ 집중캠프,제주대학교,AI·디지털 융합,AI 융합 디지털 문제해결 전문가 과정,G트랙 : AI 생산성 혁신 과정,(4회차) 2026.10.12~2026.11.06,
AID 30+ 집중캠프,제주대학교,AI·디지털 융합,AI 융합 디지털 문제해결 전문가 과정,T트랙 : 데이터 인사이트 전문가 과정,(1회차) 2026.07.20~2026.08.14,
